PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
O60831	O60831	PRAF2	PRA1 family protein 2	107449.2266	104616.9609	121686.1172	119889.3984	119412.9219	113921.8281	82374.71094	96454.6875	91029.76563	99461.30469	97230.07031
O60832	O60832	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	1	1	1	1	1	1	31940.91406	27939.71484	62525.39453	39127.81641	65669.51563
O60841	O60841	EIF5B	Eukaryotic translation initiation factor 5B	70880.82813	111876.2266	64388.39063	110533.1094	125367.2422	107271.25	164839.7344	147321.7188	146287.3281	179458.1094	147730.4063
O60858	O60858	TRIM13	E3 ubiquitin-protein ligase TRIM13	Filtered	4988.763184	6455.120117	2269.036621	5384.227051	2068.795898	6059.838867	4316.53418	4453.041016	4973.601563	5724.073242
O60869	O60869	EDF1	Endothelial differentiation-related factor 1	108948.6016	108378.2656	111707.9375	113715.0156	117509.1094	117608.4531	179405.9531	99253.13281	122257.4375	101745.3281	211377.8125
O60884	O60884	DNAJA2	DnaJ homolog subfamily A member 2	217813.7344	204091.5	192501.8281	196011.875	211592.4531	197643.4063	194549.6719	216566.25	193897.2969	200510.8906	219180.6406
O60885	O60885	BRD4	Bromodomain-containing protein 4	66287.00781	32054.91016	67472.64063	87344.5	64446.26953	60508.72656	21438.77148	34525.22656	35329.82813	26492.58398	24741.22461
O60888	O60888	CUTA	Protein CutA	149325.4531	156606.4844	172381.0625	150613.1875	168916.5156	204685.0313	257667.7813	282942.3125	270833.2188	292927.5938	328789
O60890	O60890	OPHN1	Oligophrenin-1	2702.173828	4368.137207	2592.47583	3637.995361	3602.73877	4717.359863	2323.553467	2556.400879	4017.641357	4787.081055	2983.87207
O60925	O60925	PFDN1	Prefoldin subunit 1	3301.317627	5818.155273	4787.883301	5022.000977	4990.439453	7306.490723	8491.144531	9501.054688	12255.61914	10015.45703	11549.4248
O60927	O60927	PPP1R11	E3 ubiquitin-protein ligase PPP1R11	14531.08594	15895.18457	15860.30078	17094.83594	14772.99121	14171.11914	10589.06934	11204.70605	11703.99023	9601.043945	8720.889648
O60934	O60934	NBN	Nibrin	Filtered	Filtered	Filtered	Filtered	Filtered	2591.189941	12264.24609	12458.74414	14145.41406	12777.23047	12332.91797
O60942	O60942	RNGTT	mRNA-capping enzyme	1	1	1	1	1	1	9970.513672	11020.94336	11048.26758	12797.50781	12959.85254
O75027	O75027	ABCB7	"ATP-binding cassette sub-family B member 7, mitochondrial"	47519.86328	54760.26172	43485.67188	52045.75391	57874.09375	32652.85352	71085.67969	55524.84766	23186.33398	48028.27344	24419.85547
O75037	O75037	KIF21B	Kinesin-like protein KIF21B	190016.0938	176174.8281	184165.7188	176564.5625	170748.1875	151840.6563	89370.09375	84680.75	87499.25	91464.20313	84444.05469
O75038	O75038	PLCH2	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	22867.63281	23071.77148	23470.75586	22526.54297	21262.59961	19951.21484	22347.98828	19500.16992	18817.7168	21064.81445	20095.0625
O75044	O75044	SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	61934.66406	52232.10156	52363.40625	57508.17578	61826.73438	60751.08984	43154.42578	48421.49219	55622.00391	46861.47656	43126.27344
O75051	O75051	PLXNA2	Plexin-A2	6474.150879	4185.602539	3939.923584	4495.496582	4104.435059	3671.018799	10813.30469	8938.783203	9689.21582	8763.529297	8715.248047
O75054	O75054	IGSF3	Immunoglobulin superfamily member 3	76198.19531	70074.8125	72313.67188	68369.07031	80343.25781	66615.51563	59080.41797	46513.69141	50003.81641	48428.29297	43450.85156
O75061	O75061	DNAJC6	Putative tyrosine-protein phosphatase auxilin	308726.5313	310275.9063	315087.7813	309660.0313	317710.375	307188.1875	208792.7656	223386.0469	231386.5313	236976.2969	222750.4531
O75063	O75063	FAM20B	Glycosaminoglycan xylosylkinase	11538.07422	6035.67627	9311.407227	6321.408203	6091.200195	5653.933594	31706.66797	37167.35547	38159.64844	31976.75	38855.05859
O75064	O75064	DENND4B	DENN domain-containing protein 4B	15792.58887	3771.77832	14675.32129	14559.27441	15359.16504	14888.86035	7506.175781	10191.57324	8004.864746	8030.208984	19927.17773
O75069	O75069	TMCC2	Transmembrane and coiled-coil domains protein 2	5450.605469	5286.347656	5289.212402	6924.012695	5383.625977	5564.411133	3740.375977	5085.882813	5213.629395	3574.436035	3439.298828
O75074	O75074	LRP3	Low-density lipoprotein receptor-related protein 3	Filtered	4602.091797	4707.510742	5370.731445	4238.808105	3893.635498	4275.914063	2866.76001	5716.890137	4944.474121	5145.793945
O75077	O75077	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23	23206.2207	19740.35156	22592.56641	18830.60742	21454.89648	18360.80078	3729.465576	2766.4104	2174.543701	4285.978516	Filtered
O75078	O75078	ADAM11	Disintegrin and metalloproteinase domain-containing protein 11	20238.47461	19256.51172	18783.40234	20971.17969	21724.16992	21067.96289	15552.51563	13802.48047	14614.14355	14703.29297	13353.63965
O75083	O75083	WDR1	WD repeat-containing protein 1	287144.9688	285558.0938	264891.5313	257697.5938	280929.1875	263594.5625	160215.0938	166591.5469	145579.1875	148584.7031	140536.6094
O75093	O75093	SLIT1	Slit homolog 1 protein	39439.42969	37912.92578	42048.11719	34900.27734	38222.69141	36265.26563	33400.46484	35872.62109	34427.23438	40318.54688	34121.21094
O75094	O75094	SLIT3	Slit homolog 3 protein	16808.18164	15983.7793	18361.36914	16160.23047	18893.39844	15711.36816	13227.89453	11009.58594	6167.526855	13129.25098	12319.03516
O75110	O75110	ATP9A	Probable phospholipid-transporting ATPase IIA	101177.8906	97917.8125	100016.9922	96227.46875	102494.9688	92363.32813	53121.71094	48123.05859	46509.24219	48144.25781	46500.48047
O75112	O75112	LDB3	LIM domain-binding protein 3	16347.8584	14736.74609	14152.68945	15656.30664	14107.15625	14014.02539	9919.146484	Filtered	9975.921875	8494.535156	6719.663086
O75113	O75113	N4BP1	NEDD4-binding protein 1	7942.115723	8420.246094	10058.87109	10981.35156	4703.07666	9151.167969	7538.074219	6445.378906	9185.209961	10580.72656	8702.577148
O75116	O75116	ROCK2	Rho-associated protein kinase 2	30767.55273	28658.4082	29182.62305	35274.11719	31954.68945	29375.33398	18283.56445	18327.26367	16218.86914	16627.30859	20166.60742
O75122	O75122	CLASP2	CLIP-associating protein 2	388207.8125	371898.3125	361285.625	356398.4688	345542.6563	346886.875	187306.5313	201039.4375	182875.5	173048.375	168139.375
O75127	O75127	PTCD1	"Pentatricopeptide repeat-containing protein 1, mitochondrial"	147719.75	Filtered	Filtered	1562.905151	Filtered	1193.516479	9203.421875	8164.949707	9434.591797	8559.172852	8133.692871
O75129	O75129	ASTN2	Astrotactin-2	35882.50781	31673.2168	32813.14453	32803.35938	31056.13086	34161.17578	41968.23828	39676.33594	52621.17969	45176.73438	46458.24219
O75131	O75131	CPNE3	Copine-3	75724.10156	71414.44531	66224.71094	65389.97656	68738.78125	66508.03906	47837.80859	50213.91797	49313.91016	43462.14063	43741.98828
O75140	O75140	DEPDC5	GATOR complex protein DEPDC5	8123.388184	10208.20801	7512.92627	7161.059082	7514.806641	8202.896484	5531.282227	5764.794434	8012.635742	7465.258301	7002.364258
O75143	O75143	ATG13	Autophagy-related protein 13	13164.20508	8534.982422	15642.31641	Filtered	13491.25684	12635.84277	10426.06934	11283.59375	14054.1084	12386.40527	9482.037109
O75145	O75145	PPFIA3	Liprin-alpha-3	352396.75	327265.9688	348303.75	321382.5313	309000.125	292993.7813	202372.2344	198002.2656	230645.0156	196020.0313	185349.2344
O75146	O75146	HIP1R	Huntingtin-interacting protein 1-related protein	16541.40234	14803.81152	16592.67383	15485.64355	14619.19629	15300.50879	16361.72754	16744.6543	18335.99609	16847.92383	17567.42188
O75147	O75147	OBSL1	Obscurin-like protein 1	Filtered	1629.188721	1146.583862	1686.172119	Filtered	1152.041138	9081.109375	7666.058594	8050.53125	5688.679199	8570.428711
O75150	O75150	RNF40	E3 ubiquitin-protein ligase BRE1B	Filtered	1635.872314	46021.60938	2327.473145	3339.34082	1920.751343	16686.58203	24850.37109	33131.32031	29769.47266	31249.07422
O75151	O75151	PHF2	Lysine-specific demethylase PHF2	1	1	1	1	1	1	14623.15332	16058.00879	20968.24805	13750.91895	13450.71875
O75152	O75152	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	1	1	1	1	1	1	22300.23242	20285.68945	25712.10547	21523.51953	24362.73242
O75153	O75153	CLUH	Clustered mitochondria protein homolog	15774.10742	18777.03516	16387.85938	17873.26758	13982.75488	15969.10645	30568.24414	28982.42969	34000.38672	33473.42188	31258.625
O75155	O75155	CAND2	Cullin-associated NEDD8-dissociated protein 2	17254.86133	16537.66016	17199.69922	16829.45313	15453.58398	17349.66797	14207.3291	14930.97461	16162.0459	14458.46484	16304.01855
O75157	O75157	TSC22D2	TSC22 domain family protein 2	1612.118896	Filtered	2659.103271	3025.05542	2093.230713	3085.98584	5726.351074	4544.476563	6977.445801	6452.110352	7609.30957
O75164	O75164	KDM4A	Lysine-specific demethylase 4A	1	1	1	1	1	1	2248.278076	3514.571289	4832.164063	4242.532715	5435.63916
O75165	O75165	DNAJC13	DnaJ homolog subfamily C member 13	61649.03516	63358.64453	57279.61719	60183.64063	59988.96484	59092.4375	38525.125	37691.28906	35714.08594	35087.61719	37757.11328
O75167	O75167	PHACTR2	Phosphatase and actin regulator 2	Filtered	Filtered	Filtered	996.975708	Filtered	5652.601563	Filtered	Filtered	1	1.088067889	451.8397217
O75170	O75170	PPP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2	74794.8125	68362.39844	70592.10156	74795.52344	77588.84375	75450.05469	28559.58008	57395.54688	33855.17578	25686.91016	24611.00195
O75175	O75175	CNOT3	CCR4-NOT transcription complex subunit 3	3952.719238	3564.583008	4673.385254	4069.876953	5852.375488	5449.94873	5654.308105	15318.91309	15153.35156	14636.52148	15439.53809
O75177	O75177	SS18L1	Calcium-responsive transactivator	1	1	1	1	1	1	1175.352051	2930.029785	5778.368652	3248.894043	3601.012451
O75179	O75179	ANKRD17	Ankyrin repeat domain-containing protein 17	5974.304688	5277.88623	4557.546387	6800.080566	4143.735352	6045.669434	29770.0957	29542.07617	34675.57031	36182.33594	34332.25391
O75182	O75182	SIN3B	Paired amphipathic helix protein Sin3b	1	1	1	1	1	1	12922.80664	12878.47559	14338.88672	15657.33789	17301.48633
O75223	O75223	GGCT	Gamma-glutamylcyclotransferase	105559.6016	99345.70313	104568.3672	105211.1875	108485.0625	102344.8594	58839.77344	68214.96094	60873.82031	58314.74219	53090.66016
O75251	O75251	NDUFS7	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"	40936.47266	43255.80078	70503.70313	40746.07031	43346.95313	42036.48047	56795.40625	52425.64453	49436.17969	47246.09375	59348.3125
O75298	O75298	RTN2	Reticulon-2	7543.30127	7487.060547	8205.367188	8452.547852	9391.28418	9687.308594	3163.149658	3736.777588	4018.358887	3047.955811	2366.54541
O75306	O75306	NDUFS2	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"	281403.9063	270178.0938	268512.75	291908.7188	279852.9688	274524.5625	448183.6875	385007.375	405709.5313	430471.625	452499.5
O75312	O75312	ZPR1	Zinc finger protein ZPR1	38619.37109	43645.17969	47362.94531	46414.01172	47417.73828	56023.12109	65189.89063	67811.63281	66377.34375	64312.53125	75097.99219
O75317	O75317	USP12	Ubiquitin carboxyl-terminal hydrolase 12	7385.897949	6377.619141	6026.796875	7247.962891	6403.132813	6761.135742	3824.815674	743.8161621	4284.182617	3964.051758	3403.565186
O75323	O75323	NIPSNAP2	Protein NipSnap homolog 2	45975.60156	40914.38281	44402.64063	37976.92578	53347.47656	50812.64453	53446.91406	47316.94531	35835.02734	34178.85156	42828.45313
O75326	O75326	SEMA7A	Semaphorin-7A	42813.875	43548.96875	49139.53125	49583.875	44505.875	48594.16406	33124.02344	33412.00391	37732.79688	37367.92578	32321.0957
O75334	O75334	PPFIA2	Liprin-alpha-2	338622.625	328102.25	343422.6563	360040.8438	346640.2188	337992.3125	223856.6875	228073.4375	249507.0938	223055.0313	211031.0156
O75335	O75335	PPFIA4	Liprin-alpha-4	1447.05188	1803.125122	3053.445801	Filtered	2176.533936	640.1937866	494.6350403	Filtered	902.0280762	1359.377686	1047.154541
O75340	O75340	PDCD6	Programmed cell death protein 6	17726.51563	19931.51172	29277.39453	19002.51563	32915.58594	26097.90234	28097.30273	32756.35742	31395.7793	32969.48438	38457.42188
O75347	O75347	TBCA	Tubulin-specific chaperone A	134447.6563	67686.76563	93789.77344	89302.71875	144782.5625	171989.6406	68320.32813	106095.4766	127724.4375	60632.20313	94851.875
O75348	O75348	ATP6V1G1	V-type proton ATPase subunit G 1	38041.03516	42235.35938	46520.89453	44271.30078	41451.73047	43952.82813	20811.96875	24372.55273	24289.99805	18285.2793	21037.6543
O75351	O75351	VPS4B	Vacuolar protein sorting-associated protein 4B	220880.0781	222025.2031	211497.9531	231625.75	225205.7969	222140.5625	194140.0938	196441.6875	200916.6094	225454.25	215386.9531
O75352	O75352	MPDU1	Mannose-P-dolichol utilization defect 1 protein	71524.10938	73537.63281	72909.4375	68828.57813	22475.66992	74845.17969	76484.20313	21641.71875	76295.58594	70828.90625	78999.32813
O75354	O75354	ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6	7302.606934	9215.643555	6002.978027	9177.06543	7834.913086	7874.674805	20482.84375	19475.15039	23129.10547	22089.58594	22692.63477
O75365	O75365	PTP4A3	Protein tyrosine phosphatase type IVA 3	7285.039063	5592.316895	7203.966797	8963.899414	8631.382813	8850.208008	4486.208008	5579.081055	3392.105469	2785.264893	3737.20874
O75367	O75367	MACROH2A1	Core histone macro-H2A.1	28822.15039	17436.43359	15026.36914	16641.81836	16250.03125	13398.2959	1358158	1292005.75	1523214.125	1315610.75	1423629.625
O75368	O75368	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein	65775.26563	96892.14844	71974.20313	66305.32813	74490.45313	84928.02344	62246.91016	118648.1875	67824.29688	73718.33594	77741.09375
O75369	O75369	FLNB	Filamin-B	33656.28906	35404.37891	29057.39844	31845.66016	32678.77344	31626.19141	21966.64453	19414.76172	22235.70508	18834.96094	18216.24609
O75379	O75379	VAMP4	Vesicle-associated membrane protein 4	31394.30859	33378.35547	31234.03125	31787.10352	31156.0918	30788.7832	28498.21094	30437.86914	37144.42578	25711.54492	28689.40625
O75380	O75380	NDUFS6	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"	69496.40625	80120.875	81328.8125	78970.91406	84896.82813	93825.35938	132247.6406	118754.9531	144838.6406	116077.9063	124281.1094
O75382	O75382	TRIM3	Tripartite motif-containing protein 3	169471.9688	170246.2188	174850.7813	188829.3438	186945.6094	181521.3281	127022.3438	129606.1328	140725.9688	139670.0313	139410
O75385	O75385	ULK1	Serine/threonine-protein kinase ULK1	27544.05859	17693.85547	16960.3457	20613.88477	18091.42773	29002.05469	15819.17871	27780.85547	18644.55078	17515.26367	16859.84766
O75390	O75390	CS	"Citrate synthase, mitochondrial"	1872510.375	2105776.75	2346093.25	2214207.25	2282710.75	2133453.75	3640400.75	3149971.5	3252282.75	3321674.25	3500338.75
O75391	O75391	SPAG7	Sperm-associated antigen 7	1	1	1	1	1	1	3699.729004	5134.581055	5749.589355	3373.438965	4629.824707
O75394	O75394	MRPL33	"39S ribosomal protein L33, mitochondrial"	12066.95508	11160.66211	12970.75098	12602.9248	14552.40527	11207.53809	22099.64844	19536.15625	23022.59375	18549.82227	18561.98633
O75396	O75396	SEC22B	Vesicle-trafficking protein SEC22b	174901.8438	165443.0156	174180.2031	174034.25	175360.9688	162813.4375	204979.875	211191.1563	211184.1406	196595.5938	211421.9063
O75400	O75400	PRPF40A	Pre-mRNA-processing factor 40 homolog A	4504.515625	12250.44336	11749.77051	2584.459473	5775.726563	18833.45117	14660.33301	20747.27148	11921.50879	16986.27344	25708.24609
O75410	O75410	TACC1	Transforming acidic coiled-coil-containing protein 1	5803.200195	4777.740723	3911.821045	5398.92627	4049.997314	3206.343262	5456.338867	4358.54541	3133.804199	4201.958984	16589.96094
O75427	O75427	LRCH4	Leucine-rich repeat and calponin homology domain-containing protein 4	23009.10547	31212.27344	25482.70117	22399.95898	22590.52734	23087.28711	24944.4668	27901.26758	26543.56055	27179.1875	27413.37891
O75431	O75431	MTX2	Metaxin-2	24771.29688	18555.03125	21340.39063	21194.28711	42368.87891	48048.79297	55354.69922	61824.4375	62522.53906	60485.05078	59197.11328
O75436	O75436	VPS26A	Vacuolar protein sorting-associated protein 26A	114225.7109	109755.8359	108949.4531	113816.7188	109445.2422	110867.1172	73956	76700.21094	85061.11719	81952.84375	84683.35156
O75439	O75439	PMPCB	Mitochondrial-processing peptidase subunit beta	132580.4063	130059.5859	111070.6016	134074.6563	130489.6328	127926.8828	267260.8125	229699.3438	269706.9375	256163.3438	247700.125
O75446	O75446	SAP30	Histone deacetylase complex subunit SAP30	Filtered	Filtered	539.237854	Filtered	Filtered	Filtered	23953.82227	25880.37109	22064.91992	24109.10547	25570.2832
O75448	O75448	MED24	Mediator of RNA polymerase II transcription subunit 24	Filtered	Filtered	1.136681557	Filtered	Filtered	625.4308472	11696.40039	9870.501953	11841.27441	12958.01758	14446.13672
O75467	O75467	ZNF324	Zinc finger protein 324A	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	2265.46167	2927.630127	2779.469727	2491.203857
O75475	O75475	PSIP1	PC4 and SFRS1-interacting protein	Filtered	1589.249512	3365.392578	Filtered	Filtered	Filtered	412733.3125	394768.1563	433160.9375	426075.4063	417935.9688
O75477	O75477	ERLIN1	Erlin-1	14173.1084	15424.6875	13684.68164	14755.26953	13173.22168	14659.47363	50400.42969	42709.01563	46788.77734	49176.61719	52347.08984
O75486	O75486	SUPT3H	Transcription initiation protein SPT3 homolog	1	1	1	1	1	1	30488.75195	32808.80859	37807.35938	35495.75781	35401.51953
O75487	O75487	GPC4	Glypican-4	1	1	1	1	1	1	2017.258423	2951.014893	2346.021484	3124.730713	2052.604736
O75489	O75489	NDUFS3	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"	199508.9375	202057.7969	222872.875	206160.875	224235.6563	231032.7656	390692.75	373120.75	341716.7188	391104.9063	394740.1875
O75494	O75494	SRSF10	Serine/arginine-rich splicing factor 10	7817.021484	13229.95703	13807.07422	2341.914063	7804.010742	5541.768066	156246.1875	191761.8281	111261.6484	141571.7813	191801.4375
O75503	O75503	CLN5	Ceroid-lipofuscinosis neuronal protein 5	37754.92969	36497.09375	29688.01172	33813.23047	65970.02344	32211.39844	44366.24609	59766.10938	47124.05469	46326.65625	43994.22266
O75509	O75509	TNFRSF21	Tumor necrosis factor receptor superfamily member 21	12265.49609	10356.4707	12095.60547	10208.02246	11417.88379	9020.341797	2358.729004	2832.832764	2741.561035	2518.175293	3033.929443
O75521	O75521	ECI2	Enoyl-CoA delta isomerase 2	15302.32324	16361.4541	16476.39648	14799.43359	15435.64746	14431.39063	32304.5293	31173.54102	33167.35938	32598.75586	29110.61523
O75529	O75529	TAF5L	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	1	1	1	1	1	1	5926.546387	3797.366699	6979.711426	6378.737305	4966.455078
